BINNED_PROPERTY_DAMAGE,prob_0 to 2.5k,prob_100k to 200k,prob_10k to 20k,prob_2.5k to 5k,prob_200k to 300k,prob_20k to 30k,prob_300k to 400k,prob_30k to 40k,prob_400k to 500k,prob_40k to 50k,prob_500k to 600k,prob_50k to 75k,prob_5k to 10k,prob_600k to 700k,prob_700k to 800k,prob_75k to 100k,prob_800k to 900k,prob_900k to 1B,prob_greater than 1B
greater than 1B,0.2141470313,0.0043132813,0.0001543638,0.00036858400000000003,0.0046707145,6.63364e-05,0.0049323756,0.0001543843,0.0188315734,0.000124554,0.0332496427,0.0003686501,9.78676e-05,0.005630034000000001,0.012957965,0.0008743332,0.0024222755,0.0982049853,0.5984310508
0 to 2.5k,0.4757951796,0.057158537200000005,0.0268726107,0.0255065784,0.053573928800000004,0.048918169000000004,0.0137990583,0.0128055597,0.0334753506,0.053927421600000004,0.0046605393000000005,0.0172295552,0.0335586071,0.0013052312,0.0131856874,0.0950676426,0.0003985273,0.0170856491,0.0156762339
0 to 2.5k,0.3847883344,0.017455171800000002,0.0013197148,0.0021418289,0.0152410483,0.0007329204,0.0110696284,0.0011208352,0.035754408700000004,0.0013094285,0.0312065873,0.0024983196,0.0009616452000000001,0.0074321409,0.0194136761,0.0055009834,0.0037641190000000002,0.086647287,0.37164190410000003
0 to 2.5k,0.9957728982,4.82848e-05,0.0004613921,0.0022680440000000003,2.5428800000000003e-05,0.0002489029,1.0317e-06,5.60887e-05,3.86586e-05,0.0002215071,1.178e-06,2.5689500000000002e-05,0.0006008443,4.8e-09,2.6128999999999996e-06,0.00021949,3.7000000000000005e-09,2.8142e-06,4.9493999999999996e-06
0 to 2.5k,0.9881768823,4.1007e-05,0.0018985809,0.006566430900000001,8.8498e-06,0.00046325960000000003,4.0049999999999997e-07,0.0001205198,1.6132500000000002e-05,0.0003262385,3.325e-07,5.19499e-05,0.002180795,1.2e-09,5.571999999999999e-07,0.0001463208,3.0000000000000004e-09,5.088e-07,1.3403e-06
0 to 2.5k,0.7141537666000001,0.0163530204,0.044988837100000005,0.054867316000000006,0.0075382455000000004,0.0300771967,0.0019468793,0.0099083642,0.0085034128,0.0259853359,0.0015844117,0.0101357,0.040921263400000005,0.00011868250000000001,0.0016711939000000002,0.0253064707,0.0001429483,0.0020273845,0.0037697267
0 to 2.5k,0.4425569177,0.015412791600000001,0.11772586410000001,0.0992604941,0.0045106094,0.0639818758,0.0011257542000000001,0.0208094753,0.0044679404,0.0544705801,0.00044576230000000004,0.020442683200000002,0.12322434780000001,4.809020000000001e-05,0.0007416909,0.0293874238,0.00010517,0.0005713563000000001,0.0007112944
0 to 2.5k,0.5647274852,0.0312915072,0.0606673323,0.0567262657,0.015025801,0.0476185046,0.0038407638000000003,0.017503401300000002,0.0124733262,0.0489077196,0.0019901441,0.0206761472,0.059820286900000005,0.0002942767,0.0029276588,0.0466431379,0.00030961380000000003,0.0032555687,0.0053010322
0 to 2.5k,0.367143482,0.0607442409,0.0498507433,0.0437670946,0.046604413500000004,0.0678721666,0.0141329821,0.0210212078,0.030411917700000003,0.06897725910000001,0.006777140300000001,0.0272837803,0.056802433000000006,0.0016000413,0.0131066563,0.0935823247,0.0009128487,0.014693842300000001,0.014715465700000001
0 to 2.5k,0.2480313629,0.0662232786,0.059218321000000004,0.0484464467,0.0546251722,0.09186752890000001,0.0241954997,0.0211341977,0.041568134,0.0696297437,0.0110011017,0.026006406200000002,0.07074682410000001,0.0026414283,0.020870214300000002,0.0990680158,0.0012760427,0.0258332808,0.0176170059
0 to 2.5k,0.4100243449,0.008908473,0.1218715534,0.1412016153,0.0045290845,0.0923431516,0.0018975196,0.012570541400000001,0.0057428391,0.0384706259,0.0012030518,0.0083722016,0.12082859130000001,6.73902e-05,0.0014389283,0.028252463800000002,8.63398e-05,0.0012626152,0.0009286495
0 to 2.5k,0.9873664379,0.000604376,0.0009743121,0.0034940136,0.0005261967000000001,0.0009256246,4.844760000000001e-05,0.0002629449,0.0007928194000000001,0.0009549611000000001,4.8904500000000006e-05,0.0001764485,0.0015963555,6.838e-07,0.0001577316,0.0016830951000000002,2.59e-07,0.00022310140000000002,0.0001632372
0 to 2.5k,0.9919984937,0.0001041965,0.0009818481,0.0043607573,5.1000100000000007e-05,0.0003834615,5.4378e-06,0.0001154362,0.00015974820000000002,0.0002591975,1.11233e-05,5.443800000000001e-05,0.0011956036000000001,4.53e-08,1.61117e-05,0.0002502358,4.53e-08,2.3591100000000005e-05,2.94963e-05
0 to 2.5k,0.6855000854000001,0.0109329475,0.0574170351,0.0711954087,0.0049162759,0.0345683098,0.0016833179,0.0095103662,0.0066103474,0.024496285200000002,0.0011519940000000002,0.008419564000000001,0.0556796044,8.45731e-05,0.0014700633,0.022596653600000002,0.00011344210000000001,0.0016406858,0.0020131706
0 to 2.5k,0.6367153525,0.0148422914,0.0659035519,0.07518894970000001,0.0069370545,0.0406804457,0.0031806161000000003,0.0111407256,0.010672040300000001,0.024282984400000002,0.0022698194,0.0099924831,0.0639967471,0.00018025810000000001,0.0028064556,0.0233076867,0.0002166991,0.0036131442,0.0040728291000000005
0 to 2.5k,0.9949251413,2.2060000000000002e-05,0.0006129731,0.0032402980000000004,7.3829e-06,0.0001820534,2.9769999999999997e-07,4.80192e-05,1.65371e-05,0.0001459081,5.135999999999999e-07,1.9068600000000002e-05,0.0006860797,1.1000000000000001e-09,6.857e-07,9.065030000000002e-05,1.8000000000000002e-09,6.964e-07,1.6391e-06
0 to 2.5k,0.9835241437000001,0.0007464243,0.0012337408000000002,0.0046106866,0.0007779102,0.0012324002,0.0001025553,0.0002579686,0.0013091835,0.0010564883,0.0001568117,0.0001759066,0.0013963992,2.5517e-06,0.0002393383,0.0022605923,8.356999999999999e-07,0.00040376240000000003,0.0005124591
0 to 2.5k,0.3055995703,0.031461406500000004,0.0030371002,0.0041264775000000005,0.0337846428,0.0029489114,0.0247121062,0.0022984857,0.0598080792,0.0037666110000000004,0.041168708400000004,0.0044178111,0.0027361677,0.0108961584,0.0403807499,0.0143320644,0.0036812506000000003,0.1374917179,0.2733519971
0 to 2.5k,0.9995197058,4.7528e-06,3.45227e-05,0.0002923336,2.4872e-06,1.69509e-05,3.0800000000000004e-08,6.0767e-06,4.2957e-06,2.09448e-05,3.85e-08,2.2566e-06,7.722610000000002e-05,0.0,2.1649999999999999e-07,1.7703900000000002e-05,0.0,2.213e-07,2.4119999999999996e-07
0 to 2.5k,0.9506959319,0.00041284080000000004,0.0081158075,0.0245923121,0.0001619626,0.0028906071,2.1158700000000005e-05,0.0007282431,0.0002866831,0.0019510119,3.38743e-05,0.0003968676,0.0080342209,3.08e-07,3.15527e-05,0.0015604284000000001,6.511e-07,3.14268e-05,5.392820000000001e-05
0 to 2.5k,0.9978803396,6.6545e-06,0.0001608177,0.0016206984,3.915e-06,5.36513e-05,2.931e-07,9.071999999999999e-06,1.4325300000000002e-05,2.6821700000000004e-05,1.2227999999999998e-06,2.83e-06,0.0001758157,1.1000000000000001e-09,1.0609999999999999e-06,3.81544e-05,1.1000000000000001e-09,1.7219e-06,2.8877999999999997e-06
0 to 2.5k,0.9230659008000001,0.0020508664000000003,0.0108538475,0.0222673193,0.0012607353000000001,0.008195512,0.0003013282,0.0015516467,0.0021617848,0.0052087782,0.0001754649,0.0010280161000000001,0.014066163500000001,5.7916e-06,0.00042906330000000003,0.006451168100000001,3.6618e-06,0.0005505316,0.0003724739
0 to 2.5k,0.7919135690000001,0.0083035249,0.0342991836,0.051042240100000004,0.0042957258000000005,0.0230189022,0.000995458,0.0057789986,0.0047943909,0.0173596628,0.0008846165,0.0051122955,0.030188201,4.923650000000001e-05,0.0008649262,0.0180383213,5.38417e-05,0.001020033,0.0019867194
0 to 2.5k,0.6667823195,0.0247425623,0.0093224365,0.014518532,0.030988397100000002,0.0153569421,0.012471824900000001,0.0048780967,0.0421885513,0.0161367543,0.0071574119000000005,0.0057668393,0.015476329300000001,0.0012023177,0.029393723200000003,0.042638089500000004,0.0002902179,0.0450747311,0.0156138856
0 to 2.5k,0.9999877214,1.0209999999999998e-07,5.378e-07,9.464399999999999e-06,3.44e-08,1.09e-07,1e-10,1.195e-07,1.1009999999999999e-07,2.37e-07,3e-10,4e-08,1.4342999999999998e-06,0.0,2e-09,1.7099999999999998e-07,0.0,3.2000000000000005e-09,7.8e-09
0 to 2.5k,0.8062969446,0.0021414675,0.042576313000000005,0.0668738633,0.0006611334,0.0167087521,0.0001370259,0.0040601217000000005,0.001035238,0.009539329400000001,0.00010424410000000001,0.0025976005,0.041403383,2.63e-06,0.0001250216,0.0054436722,5.9401999999999995e-06,0.0001138919,0.0001733769
0 to 2.5k,0.9986854196,1.8571e-06,8.229609999999999e-05,0.0010765131000000001,1.0172e-06,2.13711e-05,5.87e-08,3.7389999999999997e-06,4.3288e-06,9.709199999999998e-06,2.987e-07,9.481e-07,9.90883e-05,1e-10,2.823e-07,1.19352e-05,2e-10,4.293999999999999e-07,6.589000000000001e-07
0 to 2.5k,0.9096888304,0.0025973036000000002,0.0135665964,0.027817525000000003,0.0013713317,0.0090191513,0.000186214,0.0022131845,0.0018401338000000001,0.007163452900000001,0.0001764569,0.0015539047,0.0155309066,3.9815e-06,0.0002529165,0.006380531,3.5396999999999998e-06,0.0002874722,0.0003465174
0 to 2.5k,0.9193486571,0.0018754612,0.0131566701,0.0311584603,0.0009056627,0.0056193350000000005,0.0002498779,0.0017925239000000002,0.0019679046,0.0041345116,0.0004344789,0.0012726606,0.0119234985,9.3774e-06,0.0003638736,0.0045847758,1.47614e-05,0.00047880590000000004,0.0007086480000000001
greater than 1B,0.1712170094,0.0113465311,0.00046645620000000004,0.0008322653,0.0153957382,0.00037676500000000004,0.0148647008,0.0004938637,0.0374372378,0.0005893439000000001,0.046587538000000005,0.0010652101,0.0003955394,0.0114599839,0.036162339200000004,0.0036057699000000003,0.0032981148000000003,0.18766213950000002,0.456743449
0 to 2.5k,0.5514281392,0.0561679229,0.0187196191,0.0182359647,0.0444666855,0.0254779663,0.0138228731,0.0114832101,0.056819215400000005,0.0326646008,0.0060581909000000005,0.015858952000000003,0.0270244982,0.0012862708,0.0200091135,0.0467555411,0.0003763458,0.0334872156,0.0198576394
0 to 2.5k,0.6805764437,0.0265011024,0.031139999600000003,0.0357654355,0.0168238562,0.0331909284,0.0037946112000000003,0.0111104967,0.016646307000000003,0.0360873789,0.0020178594,0.0126454132,0.0373033658,0.0002556694,0.0044411053,0.0416290164,0.0001548052,0.0049906224,0.0049256026000000005
0 to 2.5k,0.9071778059000001,0.0014214837,0.012321502000000002,0.036850605200000004,0.0010673718,0.0081631327,0.0003737281,0.0013978572,0.002846143,0.0040986524000000005,0.0006255817000000001,0.00076063,0.0149671212,9.471399999999999e-06,0.0008230499,0.0056143724,8.1931e-06,0.0010025839000000001,0.0004705113
0 to 2.5k,0.9996110797000001,5.0663e-06,2.9745700000000002e-05,0.0002369158,2.2454e-06,1.19404e-05,4.2500000000000003e-08,4.8144e-06,5.7434e-06,1.42343e-05,5.1500000000000005e-08,1.9211e-06,6.1883e-05,1e-10,2.454e-07,1.34161e-05,0.0,3.7519999999999997e-07,4.341e-07
0 to 2.5k,0.658523798,0.025049902500000002,0.0284170639,0.0350712575,0.0156511813,0.0202597696,0.0114327483,0.0084402729,0.0364253446,0.0160053708,0.0095546506,0.0096033458,0.032086540000000004,0.0011999484,0.015577785700000001,0.025704978000000003,0.0008401808,0.0296085011,0.0205473751
0 to 2.5k,0.7675523758,0.0118017578,0.025729786600000002,0.0412790291,0.009358868900000001,0.0278318785,0.0024728109,0.0058262413,0.0094726514,0.0209898185,0.0018799526,0.0051397234,0.028563687600000002,0.00012801310000000002,0.0030247844,0.031943246700000004,7.90783e-05,0.0035409019000000003,0.003385453
0 to 2.5k,0.8166493773,0.0161220003,0.0023859548000000003,0.0040694927,0.0125866085,0.0018638516000000001,0.0044103018,0.0018469983,0.0338582695,0.0030203450000000002,0.0055716196,0.0028494282000000003,0.0031858319,0.0005865078000000001,0.0120667741,0.006912179300000001,0.0001923277,0.035640873,0.0361811593
0 to 2.5k,0.9708799720000001,0.0006065454,0.0034677479,0.010359721300000001,0.0004212896,0.0031323070000000004,2.42243e-05,0.0005605269,0.000385088,0.0027049044000000003,2.1286000000000003e-05,0.0003183924,0.0042946362,2.608e-07,4.2698700000000005e-05,0.0026863720000000002,1.5350000000000002e-07,3.8931600000000005e-05,5.4917700000000004e-05
0 to 2.5k,0.9851738811,9.44397e-05,0.0020294557,0.0081146536,4.24032e-05,0.0009022582,3.0569e-06,0.0001638347,7.80644e-05,0.0005945172,3.7520999999999996e-06,7.217020000000001e-05,0.0022384934,1.97e-08,5.5177e-06,0.00046925220000000004,2.3100000000000002e-08,5.3646e-06,8.727299999999999e-06
0 to 2.5k,0.6115106344,0.0052535534,0.0799289197,0.1212316751,0.002485459,0.049792993800000004,0.0006522549,0.007689014500000001,0.0031807881,0.0239054002,0.0006667961,0.0048919492000000005,0.0705244765,1.9939300000000004e-05,0.0005316923,0.0166150928,3.0207900000000003e-05,0.0004826109,0.0006064402
0 to 2.5k,0.8838765621,0.0016065461,0.019844420300000002,0.042156208300000005,0.0007474009,0.0127024176,0.00010588020000000001,0.0020432922,0.0009447357000000001,0.0077908118,9.099030000000002e-05,0.0012306797,0.0200976525,1.6867e-06,0.00011167950000000001,0.0064026518,2.0794e-06,0.000102305,0.0001420362
0 to 2.5k,0.82942909,0.0094328299,0.0179486163,0.0324052274,0.0069157719,0.0135069387,0.0027501436000000002,0.0042849374,0.012347982300000001,0.0102328751,0.0034879111000000003,0.0038038041,0.0192131195,0.0001787861,0.0043709399,0.0163598247,0.00013128910000000002,0.006938789000000001,0.0062611336000000005
0 to 2.5k,0.44729024170000004,0.0658080652,0.0289197117,0.0276202634,0.0532694384,0.0363080539,0.0176817048,0.0152949933,0.0403755009,0.044042985900000005,0.009978299999999999,0.0227562077,0.0326344445,0.0026644703,0.018711349000000002,0.0766565129,0.0013286716,0.0269734412,0.0316856131
0 to 2.5k,0.5946374536,0.0223205648,0.0320885666,0.041548922700000004,0.023426441500000002,0.0485507436,0.011182841800000001,0.008391235,0.0261030421,0.0321798287,0.0047890539000000005,0.007808050600000001,0.043527469000000006,0.0007224103,0.014200151900000001,0.062291014900000004,0.0002474534,0.0183712225,0.0076135118
0 to 2.5k,0.9865016341,0.0002934518,0.0013180759,0.0050142817000000004,0.0002649592,0.0013846877000000001,1.9195400000000003e-05,0.000201668,0.0003111624,0.0009904235,1.5301200000000002e-05,0.0001030071,0.0019728884,1.536e-07,4.572060000000001e-05,0.0014661624000000002,5.5e-08,5.274630000000001e-05,4.454200000000001e-05
0 to 2.5k,0.9957744479,2.1580500000000005e-05,0.0004693963,0.0027260680000000003,7.7371e-06,0.0001308109,3.9969999999999996e-07,4.2578300000000005e-05,2.27044e-05,0.0001094289,8.326e-07,1.73809e-05,0.0005936411,1.7000000000000003e-09,1.2741e-06,7.81266e-05,2.8e-09,1.3992999999999999e-06,2.2278e-06
0 to 2.5k,0.7482106686000001,0.0209643431,0.0096623357,0.0175927561,0.0214114673,0.0098007275,0.0071531199,0.0040931832,0.0275088884,0.0102166403,0.0117744301,0.0049694534000000005,0.0101881512,0.0009621365,0.0125136189,0.0248092171,0.0004381098,0.0249634348,0.0327673145
0 to 2.5k,0.9389535189,0.0016712925,0.0094220238,0.0206798743,0.0008228712,0.0054853377000000005,0.00014051110000000002,0.0013666304,0.0013244465000000001,0.0039824354000000005,0.0001328488,0.000946966,0.0101736942,2.8966000000000004e-06,0.0001888518,0.0041353786000000005,2.8819e-06,0.0002391572,0.0003284467
0 to 2.5k,0.9175147414,0.0035630877,0.008672244800000001,0.0190012138,0.0031702758,0.0090764305,0.0005813933,0.0016468393,0.0032056447,0.0071414113,0.0004803739,0.0012751331,0.0089710541,2.05329e-05,0.0007231441,0.0126628131,9.656199999999999e-06,0.0009759291000000001,0.0013079852
0 to 2.5k,0.8923890591,0.0002955793,0.0191568583,0.059076976,0.00011926300000000001,0.007050409400000001,2.04932e-05,0.000874327,0.0002114118,0.0029308104,3.33429e-05,0.0003607894,0.0153313847,2.3469999999999998e-07,2.10209e-05,0.0020789506,5.852999999999999e-07,1.7670100000000002e-05,3.08675e-05
0 to 2.5k,0.5901802182,0.054570186900000005,0.0099495174,0.011012056800000001,0.0397513211,0.0090746162,0.0128479786,0.0076213311,0.0514827296,0.014810586300000001,0.012043102600000001,0.0134427231,0.0108468561,0.0025783726,0.0188546404,0.0274423212,0.0011458499,0.0419441573,0.0704015046
0 to 2.5k,0.4346520305,0.0505021811,0.0423117243,0.042902492,0.0412161648,0.058413837100000005,0.0163856614,0.0150578897,0.039283663,0.0477412194,0.0090800878,0.0180353541,0.0504173785,0.0016188286,0.0172676928,0.0738978013,0.0007628333000000001,0.023057814700000002,0.0173953027
0 to 2.5k,0.9384315014,0.0010397871,0.0092737805,0.0244670305,0.00053555,0.0051584993,7.47488e-05,0.0011831323,0.0007933159,0.0039296672000000005,8.95951e-05,0.0007443308,0.0099937385,1.4801999999999998e-06,0.00011434780000000001,0.0039071413,1.8490999999999998e-06,0.0001134989,0.00014689720000000001
0 to 2.5k,0.9985738993000001,1.1477500000000001e-05,9.879860000000001e-05,0.0008808895,1.0191800000000001e-05,6.46022e-05,4.157e-07,1.1781700000000001e-05,1.9443900000000002e-05,4.901060000000001e-05,6.679e-07,4.0008e-06,0.00018590580000000002,1.1000000000000001e-09,2.3033e-06,8.1695e-05,5e-10,2.9685e-06,1.9352e-06
0 to 2.5k,0.6296111345000001,0.0174223334,0.0604529679,0.0608172081,0.0085778832,0.0467518903,0.0030530947,0.011714789100000001,0.009655085400000001,0.0340713821,0.0012061102,0.0113880001,0.0632174462,0.0001567805,0.0022819079,0.0338988192,0.0001392285,0.002683158,0.0029006349
0 to 2.5k,0.7659762502,0.0128994165,0.0249183755,0.0412534326,0.0096129784,0.019261254000000002,0.0048447275,0.0053332685,0.0159594845,0.0126309451,0.0054522036,0.0049836747,0.026503535,0.000366702,0.006516506,0.0225602277,0.0002695489,0.010908895200000001,0.009748552
0 to 2.5k,0.5646266341,0.0618118569,0.013865318100000001,0.0144772818,0.0462960973,0.0158471577,0.0131474212,0.0108370874,0.0509959944,0.026395676700000002,0.008646558,0.0179960821,0.0174952019,0.0020458235,0.020398993,0.0446150415,0.0008826174000000001,0.0337356813,0.0358834341
