BINNED_PROPERTY_DAMAGE,prob_0 to 2.5k,prob_100k to 200k,prob_10k to 20k,prob_2.5k to 5k,prob_200k to 300k,prob_20k to 30k,prob_300k to 400k,prob_30k to 40k,prob_400k to 500k,prob_40k to 50k,prob_500k to 600k,prob_50k to 75k,prob_5k to 10k,prob_600k to 700k,prob_700k to 800k,prob_75k to 100k,prob_900k to 1B,prob_greater than 1B
0 to 2.5k,0.9554957747,0.0004367485,0.0031528606,0.0065319291,7.22079e-05,0.0035526289000000003,1.13373e-05,0.0001677424,1.14546e-05,0.00048438150000000004,2.0472e-06,0.0002514104,0.0290045775,1.4668e-06,3.0555e-06,0.0007815642000000001,2.0243600000000004e-05,1.8215e-05
0 to 2.5k,0.9960213304000001,0.000307542,0.0006258067,0.0008057357,0.00015396800000000001,0.0004636916,2.5137200000000004e-05,2.8069000000000005e-05,2.8211e-06,0.00036318010000000004,6.508e-07,0.0002593782,0.0005711337000000001,7.723e-07,1.4440999999999999e-06,0.0003501514,8.550499999999999e-06,1.0599600000000001e-05
0 to 2.5k,0.9988107681,5.23058e-05,0.0002035505,0.00046740890000000003,9.87033e-05,7.874620000000001e-05,6.5415e-06,3.6733600000000004e-05,2.0796e-06,6.99588e-05,5.21e-07,8.2628e-06,5.48448e-05,5.394e-07,7.874e-07,9.606820000000002e-05,6.1151e-06,5.9148e-06
0 to 2.5k,0.9985052347000001,4.34197e-05,0.00021061120000000002,0.0008015574000000001,6.018180000000001e-05,7.317420000000002e-05,3.1911e-06,3.6060500000000005e-05,1.3109999999999998e-06,7.76021e-05,2.8609999999999995e-07,6.7942999999999995e-06,9.728540000000002e-05,3.321e-07,4.895999999999999e-07,7.435870000000002e-05,3.9107000000000005e-06,4.2129e-06
0 to 2.5k,0.9985479712,0.0001480557,0.00030822980000000004,0.0003901112,6.2779e-05,0.000247718,1.2306500000000002e-05,3.49979e-05,2.6034e-06,4.33986e-05,7.776e-07,1.38235e-05,5.4027700000000005e-05,7.177999999999999e-07,1.27e-06,0.0001227834,5.7569e-06,2.7730999999999998e-06
0 to 2.5k,0.9839662910000001,0.000693144,0.0045740572,0.0032143956000000003,0.0008515376000000001,0.0024035757,0.00010254550000000001,0.0002225079,4.82263e-05,0.0008413521,9.8968e-06,0.0003901841,0.0013951949,1.3309100000000001e-05,1.24868e-05,0.0010117478,7.12199e-05,0.0001786113
0 to 2.5k,0.9984350801,0.0001660784,9.457090000000002e-05,0.0001615694,0.0002574122,4.8878800000000004e-05,0.0005373944,3.1162e-06,6.638899999999999e-06,0.0001196022,2.2077e-06,4.4454300000000006e-05,4.8752300000000004e-05,1.4705e-06,2.4798e-06,5.49695e-05,5.5498e-06,9.626699999999999e-06
0 to 2.5k,0.9799096584,0.0003151823,0.0025497244,0.0076541393000000004,0.0006990413000000001,0.0017190537000000001,5.5582900000000006e-05,0.00038838720000000003,4.31079e-05,0.0014323078000000001,4.988699999999999e-06,0.0001521606,0.0037410706,5.05e-06,9.8855e-06,0.0012081398,4.691990000000001e-05,6.55185e-05
0 to 2.5k,0.9802830219,0.0007070864,0.0025643981,0.0038147217000000003,0.0013054723000000001,0.0015579805,0.0001502016,0.00026241860000000004,4.172100000000001e-05,0.0028567091000000003,1.0779900000000002e-05,0.0007873659,0.0037438667,1.1238300000000002e-05,2.4169800000000004e-05,0.0016556890000000001,9.5648e-05,0.00012765820000000002
0 to 2.5k,0.9938364625,0.0001346221,0.0010376916,0.0020533092,0.0001048692,0.0006388864,9.4786e-06,7.20602e-05,4.6879e-06,0.0002229675,5.979e-07,7.152280000000001e-05,0.0015241927,7.153e-07,1.0861e-06,0.0002649608,9.8797e-06,1.20569e-05
