,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,BEGIN_RANGE,END_RANGE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_YEAR,BEGIN_MONTH,DURATION_seconds,binary_damage
49113,0,0,0,0,2.0,2.0,36.9389,-76.5165,36.9689,-76.5965,2015,11,86400.0,0
24967,0,0,0,0,2.0,2.0,30.4931,-84.2392,30.4931,-84.2392,2012,08,86400.0,0
40198,0,0,0,0,5.0,5.0,43.65,-89.8,43.65,-89.8,2018,08,34740.0,0
52521,0,0,0,0,2.0,2.0,38.78,-121.2,38.78,-121.2,2016,11,86400.0,0
28090,0,0,0,0,6.0,6.0,31.38,-82.29,31.38,-82.29,2017,06,61200.00000000001,0
33740,0,0,0,0,4.0,4.0,40.4165,-98.5209,40.4165,-98.5209,2016,08,27000.0,0
45245,0,0,0,0,10.0,10.0,33.3446,-108.6299,33.3446,-108.6299,2016,09,108000.0,0
29144,0,0,0,0,1.0,1.0,41.3245,-105.59,41.3245,-105.59,2014,09,86400.0,0
41425,0,0,0,0,0.0,0.0,43.05,-91.4,43.05,-91.4,2015,12,111600.0,0
22138,0,0,0,0,1.0,1.0,38.48,-100.91,38.48,-100.91,2018,06,10800.0,0
43100,0,0,0,0,1.0,1.0,40.53,-80.22,40.53,-80.22,2015,09,0.0,0
20212,0,0,0,0,1.0,4.0,34.7586,-112.0063,34.6834,-111.9672,2015,06,1800.0,0
6084,0,0,0,0,1.0,1.0,36.79,-118.67,36.79,-118.67,2011,07,7200.0,0
59844,0,0,0,0,15.0,8.0,34.1829,-112.23,34.2842,-112.23,2013,07,2700.0,0
24578,0,0,0,0,1.0,1.0,18.2597,-66.6894,18.2597,-66.6894,2008,05,7380.000000000001,0
36117,0,0,0,0,5.0,5.0,44.17,-94.38,44.17,-94.38,2017,08,45000.0,0
37521,0,0,0,0,0.0,0.0,41.3,-95.9,41.3,-95.9,2014,09,3600.0,0
50128,0,0,0,0,0.0,3.0,33.37,-84.8,33.4545,-84.6489,2010,07,17700.0,0
6034,0,0,0,0,0.0,0.0,33.37,-97.4,33.37,-97.4,2015,05,3600.0,0
42092,0,0,0,0,3.0,7.0,20.0564,-155.517,19.322,-155.1874,2017,11,31440.000000000004,0
34719,0,0,0,0,2.0,2.0,36.601,-79.414,36.601,-79.414,2018,09,3600.0,0
53200,0,0,0,0,0.0,0.0,37.38,-89.67,37.38,-89.67,2015,12,0.0,0
27420,0,0,0,0,6.0,5.0,20.7132,-156.1391,20.7151,-156.0917,2011,03,10080.0,0
40670,0,0,0,0,1.0,1.0,34.63,-92.52,34.63,-92.52,2017,12,0.0,0
32146,0,0,0,0,1.0,1.0,38.46,-75.22,38.46,-75.22,2016,09,0.0,0
35764,0,0,0,0,0.0,0.0,40.95,-94.22,40.95,-94.22,2014,09,0.0,0
52843,0,0,0,0,1.0,1.0,44.09,-93.2,44.09,-93.2,2014,06,0.0,0
46886,0,0,0,0,1.0,3.0,22.0564,-159.7742,21.9189,-159.4195,2017,10,10500.0,0
20861,0,0,0,0,4.0,4.0,38.78,-120.23,38.78,-120.23,2017,02,89100.0,0
50295,0,0,0,0,1.0,1.0,37.4,-87.7518,37.4,-87.7518,2014,06,19800.0,0
27445,0,0,0,0,0.0,0.0,31.97,-83.6,32.12,-83.5,2008,12,34380.0,0
1780,0,0,0,0,1.0,1.0,33.97,-112.75,33.97,-112.75,2014,08,8100.000000000001,0
55991,0,0,0,0,5.0,5.0,19.7186,-155.1509,19.6808,-155.0047,2014,03,16320.000000000002,0
13725,0,0,0,0,6.0,6.0,38.61,-123.02,38.61,-123.02,2012,11,0.0,0
22082,0,0,0,0,4.0,4.0,34.4,-112.3002,34.4,-112.1598,2016,06,1800.0,0
57603,0,0,0,0,1.0,1.0,40.7249,-92.8633,40.7249,-92.8633,2010,07,36000.0,0
34441,0,0,0,0,2.0,2.0,43.81,-91.22,43.81,-91.22,2017,07,37200.0,0
14395,0,0,0,0,2.0,2.0,18.38,-66.17,18.38,-66.17,2009,11,8400.0,0
16022,0,1,0,0,0.0,0.0,41.13,-73.5,41.13,-73.5,2009,11,0.0,0
48277,0,0,0,0,4.0,5.0,36.03,-112.11,36.2226,-112.7911,2012,07,28800.0,0
58342,0,0,0,0,2.0,2.0,46.25,-88.01,46.25,-88.01,2014,08,75600.0,0
774,0,0,0,0,3.0,10.0,36.1607,-111.19200000000001,35.9963,-111.2985,2012,07,7200.0,0
7409,0,0,0,0,9.0,77.0,-14.3289,-170.8211,-14.2408,-169.4492,2018,01,10800.0,1
12950,0,0,0,0,0.0,0.0,30.23,-93.2,30.23,-93.2,2014,12,3600.0,0
27872,0,0,0,0,0.0,0.0,37.73,-88.55,37.73,-88.55,2010,03,19800.0,0
52664,0,0,0,0,1.0,3.0,20.9447,-156.6851,20.7655,-156.0452,2018,08,31740.000000000004,0
11702,0,0,0,0,0.0,0.0,46.15,-115.6,46.15,-115.6,2011,10,86400.0,0
2953,0,0,0,0,1.0,1.0,36.7434,-75.9869,36.7434,-75.9869,2016,10,90000.0,0
